구역 코드,위치,반경,위도,경도,지역
UA 2,전주(구성산),1.8,35.73916666666667,127.0075,전주시
UA 3,대구(약산),0.7,35.73916666666667,128.41722222222222,대구시
UA 4,울산(봉화산),4.0,35.625277777777775,129.09222222222223,울산시
UA 5,남원(덕두산),4.5,35.41138888888889,127.5325,남원시
UA 6,금산,2.1,34.73638888888889,127.98111111111112,금산시
UA 7,전주(홍산),1.2,35.82805555555556,127.08111111111111,전주시
UA 10,고창,4.0,35.38638888888889,126.73138888888889,고창시
UA 21,광주(방장산),3.0,35.44944444444444,126.73805555555556,광주시
UA 24,제주(구좌),2.8,33.47805555555556,126.82277777777776,제주시
UA 27,제주(지악산),1.2,33.3,126.55444444444444,제주시
UA 28,천안(서운산),2.0,36.93055555555555,127.28305555555556,천안시
UA 29,천안(오천),2.0,36.95305555555556,127.28777777777778,천안시
UA 30,천안(북좌),2.0,37.045,127.32777777777775,천안시
* UA 32,양평(퇴촌),0.3,37.46666666666667,127.3025,양평시
* UA 40,대구(고령),0.08,35.84277777777778,128.44416666666666,대구시
**UA 42,광주,0.05,35.22166666666667,126.86166666666666,광주시
,광주(광주 북구 영산강변 드론공원),,35.22166666666667,126.86166666666666,광주시
,서울(광나루 한강변 드론공원),,37.546638888888886,127.12052777777777,서울시
