stnId,stnNm,yyyymm,days_in_month,yn_month,avg_yn_month
90,속초,2024-01,31,17,0.5483870967741935
90,속초,2024-02,29,13,0.4482758620689655
90,속초,2024-03,31,18,0.5806451612903226
90,속초,2024-04,30,25,0.8333333333333334
90,속초,2024-05,31,24,0.7741935483870968
90,속초,2024-06,30,22,0.7333333333333333
90,속초,2024-07,31,13,0.41935483870967744
90,속초,2024-08,31,23,0.7419354838709677
90,속초,2024-09,30,13,0.43333333333333335
90,속초,2024-10,31,22,0.7096774193548387
90,속초,2024-11,30,23,0.7666666666666667
90,속초,2024-12,31,25,0.8064516129032258
93,북춘천,2024-01,31,7,0.22580645161290322
93,북춘천,2024-02,29,13,0.4482758620689655
93,북춘천,2024-03,31,18,0.5806451612903226
93,북춘천,2024-04,30,24,0.8
93,북춘천,2024-05,31,23,0.7419354838709677
93,북춘천,2024-06,30,23,0.7666666666666667
93,북춘천,2024-07,31,10,0.3225806451612903
93,북춘천,2024-08,31,25,0.8064516129032258
93,북춘천,2024-09,30,19,0.6333333333333333
93,북춘천,2024-10,31,24,0.7741935483870968
93,북춘천,2024-11,30,23,0.7666666666666667
93,북춘천,2024-12,31,4,0.12903225806451613
95,철원,2024-01,31,8,0.25806451612903225
95,철원,2024-02,29,12,0.41379310344827586
95,철원,2024-03,31,19,0.6129032258064516
95,철원,2024-04,30,26,0.8666666666666667
95,철원,2024-05,31,23,0.7419354838709677
95,철원,2024-06,30,22,0.7333333333333333
95,철원,2024-07,31,9,0.2903225806451613
95,철원,2024-08,31,21,0.6774193548387096
95,철원,2024-09,30,20,0.6666666666666666
95,철원,2024-10,31,24,0.7741935483870968
95,철원,2024-11,30,21,0.7
95,철원,2024-12,31,3,0.0967741935483871
98,동두천,2024-01,31,7,0.22580645161290322
98,동두천,2024-02,29,15,0.5172413793103449
98,동두천,2024-03,31,19,0.6129032258064516
98,동두천,2024-04,30,24,0.8
98,동두천,2024-05,31,23,0.7419354838709677
98,동두천,2024-06,30,23,0.7666666666666667
98,동두천,2024-07,31,11,0.3548387096774194
98,동두천,2024-08,31,20,0.6451612903225806
98,동두천,2024-09,30,19,0.6333333333333333
98,동두천,2024-10,31,24,0.7741935483870968
98,동두천,2024-11,30,21,0.7
98,동두천,2024-12,31,5,0.16129032258064516
99,파주,2024-01,31,6,0.1935483870967742
99,파주,2024-02,29,11,0.3793103448275862
99,파주,2024-03,31,20,0.6451612903225806
99,파주,2024-04,30,25,0.8333333333333334
